address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
7744 Mary Ave NW,SEATTLE,WA,98117,500000,900.0,2.0,1.0,27,Auction,http://www.zillow.com/homes/for_sale//homedetails/7744-Mary-Ave-NW-Seattle-WA-98117/48877083_zpid/
9030 14th Ave NW # A,Seattle,WA,98117,699000,1427.0,2.0,2.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9030-14th-Ave-NW-A-Seattle-WA-98117/2091142665_zpid/
7514 28TH Ave NW,SEATTLE,WA,98117,618000,1080.0,3.0,1.0,1215,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/7514-28TH-Ave-NW-Seattle-WA-98117/48939602_zpid/
9230 Dibble Ave NW,SEATTLE,WA,98117,475000,970.0,2.0,1.0,70,Auction,http://www.zillow.com/homes/for_sale//homedetails/9230-Dibble-Ave-NW-Seattle-WA-98117/48764444_zpid/
8501 12TH Ave NW # 1-108,SEATTLE,WA,98117,385000,1080.0,1.0,2.0,202,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/8501-12TH-Ave-NW-1-108-Seattle-WA-98117/48790080_zpid/
6701 37TH Ave NW,SEATTLE,WA,98117,1999000,4860.0,6.0,4.0,433,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6701-37TH-Ave-NW-Seattle-WA-98117/67682350_zpid/
6713 26TH Ave NW,SEATTLE,WA,98117,1789500,4754.0,5.0,4.0,91,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6713-26TH-Ave-NW-Seattle-WA-98117/48830826_zpid/
7527 33RD Ave NW,SEATTLE,WA,98117,1410000,2900.0,3.0,3.0,161,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/7527-33RD-Ave-NW-Seattle-WA-98117/48673374_zpid/
1613 NW 65th St,Seattle,WA,98117,799990,1370.0,3.0,3.0,877,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/1613-NW-65th-St-Seattle-WA-98117/2101014651_zpid/
9702 14TH Ave NW,SEATTLE,WA,98117,1350000,3600.0,4.0,4.0,377,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/9702-14TH-Ave-NW-Seattle-WA-98117/96703137_zpid/
8715 13TH Ave NW,SEATTLE,WA,98117,800000,1190.0,2.0,1.0,179,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/8715-13TH-Ave-NW-Seattle-WA-98117/49040906_zpid/
1001 NW 80TH St,SEATTLE,WA,98117,1500000,2300.0,3.0,3.0,308,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/1001-NW-80TH-St-Seattle-WA-98117/49131592_zpid/
2nd Ave NW,Seattle,WA,98117,NA,2080.0,4.0,2.0,266,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/212374531_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
9th Ave NW,Seattle,WA,98117,NA,1990.0,4.0,1.0,670,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434636_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
