address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,schools
11675 Pine Canyon Pt # RUXMEI,Parker,CO,80138,624995,3773.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851931_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # F3TEAS,Parker,CO,80138,581995,3773.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221586_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # RGMYYE,Parker,CO,80138,581995,4149.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851911_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
21962 E Idyllwilde Dr # KGO8RE,Parker,CO,80138,521995,2745.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851944_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # F4D6W6,Parker,CO,80138,589995,3887.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221587_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # RW17LA,Parker,CO,80138,594995,3999.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851927_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11973 Song Bird Hills St,PARKER,CO,80138,509000,4220.0,5.0,3.0,178,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11973-Song-Bird-Hills-St-Parker-CO-80138/61084839_zpid/,NA
22114 E Hidden Trail Dr,PARKER,CO,80138,699999,4433.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22114-E-Hidden-Trail-Dr-Parker-CO-80138/82020357_zpid/,NA
8208 Merryvale Trl,Parker,CO,80138,1136680,6302.0,5.0,5.0,37,New Construction,http://www.zillow.com/homes/for_sale//homedetails/8208-Merryvale-Trl-Parker-CO-80138/2091516319_zpid/,NA
434 Amanda Pines Dr,PARKER,CO,80138,1195000,8653.0,4.0,6.0,233,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/434-Amanda-Pines-Dr-Parker-CO-80138/13524352_zpid/,NA
21694 Discovery Ave,PARKER,CO,80138,670000,4945.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/21694-Discovery-Ave-Parker-CO-80138/123457715_zpid/,NA
9877 Red Current Pl,Parker,CO,80138,2999000,10139.0,6.0,7.5,826,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9877-Red-Current-Pl-Parker-CO-80138/102958103_zpid/,NA
11923 Barrentine Loop,Parker,CO,80138,394580,2860.0,2.0,2.0,349,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11923-Barrentine-Loop-Parker-CO-80138/2095045905_zpid/,NA
11998 S Wanderlust Way,Parker,CO,80138,679995,3500.0,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/11998-S-Wanderlust-Way-Parker-CO-80138/125975459_zpid/,NA
10840 Shadow Pines Rd,Parker,CO,80138,350000,NA,NA,NA,152,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/10840-Shadow-Pines-Rd-Parker-CO-80138/2097097511_zpid/,NA
20830 Scenic Park Dr,PARKER,CO,80138,586261,4728.0,4.0,3.0,137,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20830-Scenic-Park-Dr-Parker-CO-80138/123453179_zpid/,NA
8533 Ponderosa Ln,PARKER,CO,80138,300000,NA,NA,NA,294,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/8533-Ponderosa-Ln-Parker-CO-80138/119232119_zpid/,NA
11909 Barrentine Loop,Parker,CO,80138,396200,2860.0,2.0,2.0,100,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11909-Barrentine-Loop-Parker-CO-80138/2092090412_zpid/,NA
11782 Barrentine Loop,Parker,CO,80138,413570,2987.0,2.0,2.0,59,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/11782-Barrentine-Loop-Parker-CO-80138/2091716096_zpid/,NA
