address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
3467 SW Doschview Ct,Portland,OR,97239,829975,2951.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3467-SW-Doschview-Ct-Portland-OR-97239/53981616_zpid/
6319 SW Terwilliger Blvd,Portland,OR,97239,149999,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/6319-SW-Terwilliger-Blvd-Portland-OR-97239/119259858_zpid/
3235 SW 1st Ave # 5,Portland,OR,97239,575000,905.0,1.0,1.0,240,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3235-SW-1st-Ave-5-Portland-OR-97239/2093731689_zpid/
3601 SW River Pkwy UNIT 2204,Portland,OR,97239,364900,793.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3601-SW-River-Pkwy-UNIT-2204-Portland-OR-97239/72095714_zpid/
3900 SW Altadena Ave,Portland,OR,97239,784995,3095.0,3.0,2.1,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3900-SW-Altadena-Ave-Portland-OR-97239/53861905_zpid/
1806 SW Iowa St # 4,Portland,OR,97239,485000,1419.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1806-SW-Iowa-St-4-Portland-OR-97239/2091833422_zpid/
3570 SW River Pkwy UNIT 1609,Portland,OR,97239,409000,931.0,1.0,1.0,81,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3570-SW-River-Pkwy-UNIT-1609-Portland-OR-97239/68354272_zpid/
5144 SW Northwood Ave,Portland,OR,97239,350000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5144-SW-Northwood-Ave-Portland-OR-97239/119266261_zpid/
4323 SW Hamilton Ter,Portland,OR,97239,700000,3426.0,4.0,4.0,188,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/4323-SW-Hamilton-Ter-Portland-OR-97239/53936381_zpid/
3601 SW River Pkwy,Portland,OR,97239,479000,1205.0,1.0,1.0,296,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3601-SW-River-Pkwy-Portland-OR-97239/2103145867_zpid/
